month,channel,week,timeofday,videos
201901,CH9,1,evening,have
201901,CH9,1,morning,have
201901,CH9,2,afternoon,have
201901,CH9,2,evening,have
201901,CH9,2,morning,have
201901,CH9,3,afternoon,have
201901,CH9,3,evening,have
201901,CH9,3,morning,have
201901,CH9,4,afternoon,have
201901,CH9,4,evening,have
201901,CH9,4,morning,have
201902,CH1,1,afternoon,have
201902,CH1,1,evening,have
201902,CH1,1,morning,have
201902,CH1,2,afternoon,have
201902,CH1,2,evening,have
201902,CH1,2,morning,have
201902,CH1,3,afternoon,have
201902,CH1,3,evening,have
201902,CH1,3,morning,have
201902,CH1,4,afternoon,have
201902,CH1,4,evening,have
201902,CH1,4,morning,have
201902,CH2,1,afternoon,have
201902,CH2,1,evening,have
201902,CH2,1,morning,have
201902,CH2,2,afternoon,have
201902,CH2,2,evening,have
201902,CH2,2,morning,have
201902,CH2,3,afternoon,have
201902,CH2,3,evening,have
201902,CH2,3,morning,have
201902,CH2,4,afternoon,have
201902,CH2,4,evening,have
201902,CH2,4,morning,have
201902,CH9,1,afternoon,have
201902,CH9,1,evening,have
201902,CH9,1,morning,have
201902,CH9,2,afternoon,have
201902,CH9,2,evening,have
201902,CH9,2,morning,have
201902,CH9,3,afternoon,have
201902,CH9,3,evening,have
201902,CH9,3,morning,have
201902,CH9,4,afternoon,have
201902,CH9,4,evening,have
201902,CH9,4,morning,have
201903,CH2,1,afternoon,have
201903,CH2,1,evening,have
201903,CH2,1,morning,have
201903,CH2,2,afternoon,have
201903,CH2,2,evening,have
201903,CH2,2,morning,have
201903,CH2,3,afternoon,have
201903,CH2,3,evening,have
201903,CH2,3,morning,have
201903,CH2,4,afternoon,have
201903,CH2,4,evening,have
201903,CH2,4,morning,have
201903,CH9,1,afternoon,have
201903,CH9,1,evening,have
201903,CH9,1,morning,have
201903,CH9,2,afternoon,have
201903,CH9,2,evening,have
201903,CH9,2,morning,have
201903,CH9,3,afternoon,have
201903,CH9,3,evening,have
201903,CH9,3,morning,have
201903,CH9,4,afternoon,have
201903,CH9,4,evening,have
201903,CH9,4,morning,have
201904,CH1,1,afternoon,have
201904,CH1,1,evening,have
201904,CH1,1,morning,have
201904,CH1,2,afternoon,have
201904,CH1,2,evening,have
201904,CH1,2,morning,have
201904,CH1,3,afternoon,have
201904,CH1,3,evening,have
201904,CH1,3,morning,have
201904,CH1,4,afternoon,have
201904,CH1,4,evening,have
201904,CH1,4,morning,have
201904,CH2,1,afternoon,have
201904,CH2,1,evening,have
201904,CH2,1,morning,have
201904,CH2,2,afternoon,have
201904,CH2,2,evening,have
201904,CH2,2,morning,have
201904,CH2,3,afternoon,have
201904,CH2,3,evening,have
201904,CH2,3,morning,have
201904,CH2,4,afternoon,have
201904,CH2,4,evening,have
201904,CH2,4,morning,have
201904,CH9,1,afternoon,have
201904,CH9,1,evening,have
