month,channel,week,timeofday,videos,filename,numofworkers
201812,CH2,2,morning,1,,
201812,CH2,3,afternoon,1,,
201812,CH2,3,evening,1,,
201812,CH2,3,morning,1,,
201812,CH2,4,afternoon,1,,
201812,CH2,4,evening,1,,
201812,CH2,4,morning,1,,
201812,CH9,1,afternoon,1,12,70
201812,CH9,1,evening,1,12,53
201812,CH9,1,morning,1,12,32
201812,CH9,2,afternoon,1,12,51
201812,CH9,2,evening,1,12,41
201812,CH9,2,morning,1,12,25
201812,CH9,3,afternoon,1,,
201812,CH9,3,evening,1,12,16
201812,CH9,3,morning,1,12,32
201812,CH9,4,afternoon,1,,
201812,CH9,4,evening,1,,
201812,CH9,4,morning,1,,
201901,CH1,1,afternoon,1,,
201901,CH1,1,evening,1,,
201901,CH1,1,morning,1,,
201901,CH1,2,afternoon,1,12,79
201901,CH1,2,evening,1,12,56
201901,CH1,2,morning,1,12,66
201901,CH1,3,afternoon,1,12,53
201901,CH1,3,evening,1,12,42
201901,CH1,3,morning,1,12,92
201901,CH1,4,afternoon,1,12,7
201901,CH1,4,evening,1,12,60
201901,CH1,4,morning,1,12,5
201901,CH2,1,afternoon,1,,
201901,CH2,1,evening,1,,
201901,CH2,1,morning,1,,
201901,CH2,2,afternoon,1,12,28
201901,CH2,2,evening,1,12,41
201901,CH2,2,morning,1,12,16
201901,CH2,3,afternoon,1,12,120
201901,CH2,3,evening,1,12,89
201901,CH2,3,morning,1,12,71
201901,CH2,4,afternoon,1,12,23
201901,CH2,4,evening,1,12,14
201901,CH2,4,morning,1,12,6
201901,CH9,1,afternoon,1,,
201901,CH9,1,evening,1,,
201901,CH9,1,morning,1,,
201901,CH9,2,afternoon,1,12,6
201901,CH9,2,evening,1,12,48
201901,CH9,2,morning,1,12,16
201901,CH9,3,afternoon,1,12,22
201901,CH9,3,evening,1,12,38
201901,CH9,3,morning,1,12,19
201901,CH9,4,afternoon,1,12,17
201901,CH9,4,evening,1,12,27
201901,CH9,4,morning,1,12,66
201902,CH1,1,afternoon,1,12,15
201902,CH1,1,evening,1,12,37
201902,CH1,1,morning,1,12,41
201902,CH1,2,afternoon,1,12,21
201902,CH1,2,evening,1,12,87
201902,CH1,2,morning,1,,
201902,CH1,3,afternoon,1,12,48
201902,CH1,3,evening,1,12,90
201902,CH1,3,morning,1,12,6
